"playIdUnique","nflId","x","y","event","pff_role","pff_positionLinedUp","pff_beatenByDefender","pff_hitAllowed","pff_sackAllowed","pff_nflIdBlockedPlayer","pff_blockType","officialPosition","displayName","passResult","Distance_denied"
20210909001078,41915,10.87,25.69,"pass_forward","Pass Rush","LOLB",0,0,0,0,"0","OLB","Shaquil Barrett","C",4.40777721760073
20210909001078,35454,10.97,32.73,"pass_forward","Pass Rush","ROLB",0,0,0,0,"0","DE","Jason Pierre-Paul","C",3.34031435646407
20210909001078,42654,10.45,26.24,"pass_forward","Pass Block","RT",0,0,0,41915,"PP","T","La'el Collins","C",3.75110650342003
20210909001078,37082,10.48,32.46,"pass_forward","Pass Block","LT",0,0,0,35454,"PP","T","Tyron Smith","C",2.8796006667592
20210909001078,43424,9.33,29.82,"pass_forward","Pass","QB",0,0,0,0,"0","QB","Dak Prescott","C",0
20210909001078,52554,11.93,28.55,"pass_forward","Pass Block","C",0,0,0,42560,"PP","C","Tyler Biadasz","C",2.89359637821172
20210909001078,42560,11.78,27.88,"pass_forward","Pass Rush","NLT",0,0,0,0,"0","DT","Rakeem Nunez-Roches","C",3.12507599907586
20210909001078,34777,12.88,29.8,"pass_forward","Pass Rush","DRT",0,0,0,0,"0","NT","Steve McLendon","C",3.55005633758114
20210909001078,47873,11.28,27.82,"pass_forward","Pass Block","RG",0,0,0,42560,"CL","G","Connor McGovern","C",2.79329554469268
20210909001078,46119,12.81,30.52,"pass_forward","Pass Block","LG",0,0,0,34777,"PP","G","Connor Williams","C",3.54970421302959
20210909001203,42403,62.37,28.41,"pass_forward","Pass Rush","RE",0,0,0,0,"0","DE","Randy Gregory","C",3.65788190077263
20210909001203,42377,61.82,27.06,"pass_forward","Pass Block","LT",0,0,0,42403,"CL","T","Donovan Smith","C",4.49089078023503
20210909001203,42404,62.83,27.85,"pass_forward","Pass Block","LG",0,0,0,42403,"PP","G","Ali Marpet","C",3.28878396979795
20210909001203,46163,62.64,29.41,"pass_forward","Pass Block","RG",0,0,0,44955,"SW","G","Alex Cappa","C",3.46439027824522
20210909001203,44955,61.73,28.15,"pass_forward","Pass Rush","LE",0,0,0,0,"0","DE","Carlos Watkins","C",4.31903924501734
20210909001203,53504,62.57,28.56,"pass_forward","Pass Rush","NLT",0,0,0,0,"0","DT","Osa Odighizuwa","C",3.45117371339085
20210909001203,25511,66.02,28.65,"pass_forward","Pass","QB",0,0,0,0,"0","QB","Tom Brady","C",0
20210909001203,40151,63.22,28.98,"pass_forward","Pass Block","C",0,0,0,53504,"PP","C","Ryan Jensen","C",2.81937936432825
20210909001227,52421,58.35,29.88,"pass_forward","Pass Block","RT",0,0,0,41263,"PP","T","Tristan Wirfs","C",3.09808005061199
20210909001227,42403,58.59,22.81,"pass_forward","Pass Rush","ROLB",0,0,0,0,"0","DE","Randy Gregory","C",4.25574905275205
20210909001227,25511,59.44,26.98,"pass_forward","Pass","QB",0,0,0,0,"0","QB","Tom Brady","C",0
